DK_JS,DK_SS,DK_NAME,DK_BRIEF_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON,PLAN_YN,IO_GUBUN
1,9,올림픽홀,올림픽홀,대중공연,뮤지컬 피터팬,20130501,20130505,5,14000,8100,,내부
1,9,올림픽홀,올림픽홀,대중공연,데뷔35주년 기념 인순이 콘서트,20130404,20130406,1,2000,0,,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,뮤지컬 대장경,20120918,20121105,49,0,0,,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,"뮤지컬 ""아름다운 것들""",20130417,20130602,47,21500,16910,,내부
1,9,올림픽홀,올림픽홀,대중공연,고객감사콘서트,20130524,20130525,2,2000,0,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,50센트 내한공연,20130110,20130112,3,15000,0,,내부
1,9,올림픽홀,올림픽홀,대중공연,리버스나인&드럼크래프트 콘서트,20130215,20130216,2,0,160,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2013년 조용필 45주년 기념 서울공연,20130520,20130603,15,32000,28562,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,TVXQ WORLD TOUR in SEOUL,20121112,20121118,7,18000,22148,,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,2012 B1A4콘서트,20121205,20121209,5,8000,8939,,내부
1,9,올림픽홀,올림픽홀,문화예술행사,2014 존 레전드 내한공연,20140930,20141002,3,5000,0,,내부
1,2,핸드볼보조경기장,핸드볼보조경기장,체육행사,2014년 10월 핸드볼팀 연습,20141001,20141031,21,400,561,,내부
1,5,핸드볼경기장,핸드볼경기장,체육행사,제11회 회장배 전국 댄스스포츠 선수권대회,20141108,20141109,2,2000,900,,내부
1,9,올림픽홀,올림픽홀,문화예술행사,밀크뮤직페스티벌 콘서트,20141108,20141109,2,4000,2310,,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,신승훈 I Will 콘서트,20141123,20141123,1,900,1066,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,비품대여(마이클 볼튼 및 플라시도 도밍고 내한공연),20141121,20141123,3,,0,,내부
1,9,올림픽홀,올림픽홀,문화예술행사,월드비젼과 함께하는 사랑나눔콘서트,20141119,20141120,2,2800,1890,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2014 싸이 올나잇 스탠드 콘서트,20141215,20141225,11,62770,51518,,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,2014 컬투 크리스말쇼,20141221,20141228,8,37827,22903,,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,기획공연 파워레인저 다이노포스 -1차,20141201,20150111,,30000,30172,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2015 김광석 다시 부르기 콘서트,20150306,20150308,3,4000,2270,,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,뮤지컬 박정희,20220530,20221002,126,1184,,N,내부
1,2,핸드볼보조경기장,핸드볼보조경기장,공공행사,제25회송파구청장기배드민턴대회,20150412,20150412,1,1300,1000,N,내부
