,DK_SS,DK_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,JS_PERSON,end_day
909,5,핸드볼경기장,문화예술행사,그랜드 민트 페스티벌 2017 (Grand Mint Festival 2017),20171020,2419.0,Fri
910,7,우리금융아트홀,대중공연,2018 홍진영 콘서트,20180302,534.0,Fri
911,9,올림픽홀,문화예술행사,평창동계올림픽성공기원 UN평화 자선콘서트,20180116,60.0,Tue
912,9,올림픽홀,문화예술행사,Stray Kids 1stAlbum Event (가제),20180316,2419.0,Fri
913,5,핸드볼경기장,문화예술행사,야놀자배 전국 배드민턴 대회,20181002,1235.0,Tue
914,9,올림픽홀,문화예술행사,Shane Filan 내한공연,20180719,2250.0,Thu
915,8,K-아트홀,문화예술행사,e-스포츠 오버워치 컨텐더스 리그,20180301,,Thu
916,5,핸드볼경기장,문화예술행사,FIFTH HARMONY ASIA TOUR,20180308,2419.0,Thu
917,9,올림픽홀,문화예술행사,One Ok Rock,20180201,2419.0,Thu
918,5,핸드볼경기장,문화예술행사,Youtube FanFest (부제:뮤직&amp;라이브 페스티벌),20180219,2419.0,Mon
919,9,올림픽홀,문화예술행사,2018 여자친구 콘서트,20180120,2419.0,Sat
920,10,뮤즈라이브,문화예술행사,제6회 Rat A Tat 정기연주회,20171227,157.0,Wed
921,5,핸드볼경기장,문화예술행사,THE 17th K-BEAUTY WORLD FESTIVAL,20180420,534.0,Fri
922,5,핸드볼경기장,문화예술행사,2018 몬스타엑스 콘서트,20180421,2419.0,Sat
923,9,올림픽홀,대중공연,2017 SS301 FINAL CONCERT,20170402,2250.0,Sun
924,7,우리금융아트홀 연습실,문화예술행사,"어린이체험전 [Hi, Story], [콩알콩알]",20170903,357.0,Sun
925,7,우리금융아트홀,대중공연,서울문화재단 최초예술지원사업[무용부분] _ Liberty[누명],20171006,449.0,Fri
926,9,올림픽홀,대중공연,2017 백지영 콘서트 - 서울,20171123,2419.0,Thu
927,8,K-아트홀,문화예술행사,모던태권도“킥스” 시즌Ⅱ,20170411,2419.0,Tue
928,5,핸드볼경기장,공공행사,소방의날 행사,20171108,2419.0,Wed
929,9,올림픽홀,문화예술행사,2017 박진영 나쁜파티,20171226,2419.0,Tue
930,5,핸드볼경기장,문화예술행사,존 레전드(John Legend) 내한공연,20171215,2419.0,Fri
931,9,올림픽홀,문화예술행사,소녀시대 태연 크리스마스 스페셜 콘서트,20171223,2419.0,Sat
932,9,올림픽홀,문화예술행사,2017 백지영콘서트,20171202,,Sat
933,9,올림픽홀,문화예술행사,"1.컬투 크리스말쇼 , 2. 윤종신콘서트",20171220,2419.0,Wed
934,10,뮤즈라이브,문화예술행사,저작권과 함께하는 페스티벌 - KMPF,20171108,,Wed
935,9,올림픽홀,대중공연,2017 Davit Garrett 내한공연,20170518,1235.0,Thu
